ｴﾇｴｽｹﾞｰﾄ池袋111,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋111
ｴﾇｴｽｹﾞｰﾄ池袋115,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋115
ｴﾇｴｽｹﾞｰﾄ池袋202,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋202
ｴﾇｴｽｹﾞｰﾄ池袋205,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋205
ｴﾇｴｽｹﾞｰﾄ池袋206,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋206
ｴﾇｴｽｹﾞｰﾄ池袋210,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋210
ｴﾇｴｽｹﾞｰﾄ池袋211,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋211
ガーデン大塚801,802,804,東京都豊島区南大塚3-38-14 ガーデン大塚801,802,804
ﾌｫﾙﾑ池袋ﾌﾟﾚﾐｱﾑ102,東京都豊島区雑司が谷3-18-13 ﾌｫﾙﾑ池袋ﾌﾟﾚﾐｱﾑ102
ベイトシャローム901,東京都豊島区駒込2-7-18 ベイトシャローム901
ベイトシャローム902,東京都豊島区駒込2-7-18 ベイトシャローム902
渡辺ビル701,東京都豊島区東池袋4-41-22 渡辺ビル701
渡辺ビル802,東京都豊島区東池袋4-41-22 渡辺ビル802
クレスト池袋101,東京都豊島区池袋3-62-7 クレスト池袋101
クレスト池袋102,東京都豊島区池袋3-62-7 クレスト池袋102
ｱｰﾊﾞﾝﾌﾟﾚｲｽ池袋V201,東京都豊島区東池袋2-48-1 ｱｰﾊﾞﾝﾌﾟﾚｲｽ池袋V201
ｱｰﾊﾞﾝﾌﾟﾚｲｽ池袋V202,東京都豊島区東池袋2-48-1 ｱｰﾊﾞﾝﾌﾟﾚｲｽ池袋V202
ガーデン大塚204,東京都豊島区南大塚3-38-14 ガーデン大塚204
ガーデン大塚701,東京都豊島区南大塚3-38-14 ガーデン大塚701
ﾌｫﾙﾑ池袋ﾌﾟﾚﾐｱﾑ101,東京都豊島区雑司が谷3-18-13 ﾌｫﾙﾑ池袋ﾌﾟﾚﾐｱﾑ101
ベイトシャローム505,東京都豊島区駒込2-7-18 ベイトシャローム505
ベイトシャローム506,東京都豊島区駒込2-7-18 ベイトシャローム506
ベイトシャローム603,東京都豊島区駒込2-7-18 ベイトシャローム603
ﾙｰｾﾝﾄｺｰﾄ池袋101,東京都豊島区池袋4-24-10 ﾙｰｾﾝﾄｺｰﾄ池袋101
